Cluster_ID,Size,Avg_Sentiment,Top_Keywords,Sample_Queries
49,104,0.0,"change order, changing order, help change, help change order, items order","['I am trying to change my last order', 'how can I change several items of an order?', 'will you give me information about order changes?']"
97,98,0.0,"registration issue, registration issues, report registration, report registration issue, report registration issues","['where do I report a registration issue?', 'I want help reporting a registration issue', 'could you help me to report registration issues?']"
22,83,0.0,"help solve, help solving, issue payments, solve issue, solve payment","['payment issues', 'help me solving a payment issue', 'I want help solving an issue with payments']"
99,78,0.0,"edit account, edit information, edit information account, help edit, information account","['help me change the information on my account', 'help me to edit the information on my account', 'could I edit my account?']"
36,77,0.078,"delivery period, delivery periods, information delivery, information delivery period, information delivery periods","['I would like information about delivery period', 'tell me more about delivery period', 'where can I find information about delivery period?']"
4,67,0.0,"ask refund, ask refunds, cases ask, check cases, check cases ask","['I want help to check in what cases can I ask to be refunded', 'help checking in what cases can I ask for refunds', 'is it possible to check in what cases can I ask for refunds?']"
81,61,0.136,"new shipping, new shipping address, set new, set new shipping, shipping address","['I do not know how I can set up a new shipping address', ""I don't know how to set up a new shipping address"", 'I need assistance setting up a new shipping address']"
28,59,0.0,"help remove, items order, remove item, remove items, remove items order","['I have to remove several items', 'I need help removing some items', 'I have problems with removing something']"
57,57,0.0,"cancel company, cancel company newsletter, company newsletter, company newsletter subscription, newsletter subscription","['I want help cancelling the company newsletter subscription', 'help to cancel the company newsletter subscription', 'assistance canceling the company newsletter subscription']"
64,54,-0.297,"file complaint, filing complaint, help file complaint, know file, know file complaint","['what do i need to do to make a complaint', 'can I file a complaint?', 'help me to file a complaint']"
39,54,0.0,"check item, going arrive, item arrive, item going, item going arrive","['I would like to check when will my item arrive', 'I call to check when my item is going to arrive', ""I don't know how to check when my item is going to arrive""]"
79,51,0.078,"account deletion, information user, information user account, user account, user account deletion","['I would like to know more about a user account deletion', 'I would like to know about user account deletions', 'where could I get information about user account deletions?']"
70,49,-0.297,"complaint business, file complaint, file complaint business, filing complaint, filing complaint business","['could you help me filing a complaint against your business?', 'how to file a complaint against your business?', 'I want assistance filing a complaint against your business']"
61,48,0.0,"company newsletter, subscribe company, subscribe company newsletter, subscribing company, subscribing company newsletter","['how can I subscribe to the corporate newsletter?', 'I need to subscribe to your company newsletter', 'subscribe to your company newsletter']"
68,48,0.083,"forgotten password, forgotten passwords, information forgotten, information forgotten password, information forgotten passwords","['could you tell me about a forgotten password?', 'how can I get information about a forgotten password?', 'would you give me information about a forgotten password?']"
12,47,0.0,"check refund, check refund policy, know check, know check refund, refund policy","[""I don't know how I could check your refund policy"", 'can you help me checking your refund policy?', 'I do not know what I have to do to check your refund policy']"
105,47,0.003,"help switch, help switch account, know switch account, switch account, switching account","['I want help switching to another account', 'help me to switch to another account', 'is it possible to switch to another account?']"
40,46,0.0,"check order, check order eta, know check, know check order, order eta","['how to check my order ETA?', 'help me check my order ETA', 'can you help me check my order ETA?']"
103,45,0.012,"create account, help create, help create account, know create, know create account","['I do not know what I need to do to create an account', ""I don't know what I need to do to create an account"", 'I need assistance creating an account']"
106,44,0.0,"help switch, know switch, know switch user, switch user, switching user","['is it possible to switch user?', 'where do I switch user?', 'I try to switch user']"
100,44,0.0,"edit personal, edit personal information, help edit, know edit personal, personal information","['i donot know what i have to do to edit the personal info', 'I want assistance editing my personal information', ""I don't know how to edit my personal information""]"
24,43,0.0,"feedback service, feedback services, submit feedback, submit feedback service, submit feedback services","['could you help me submitting some feedback for a service?', 'I do not know how to submit some feedback for a service', 'I need help submitting some feedback for a service']"
8,43,-0.097,"check long, check long refunds, long refunds, long refunds usually, refunds usually","['I would like to check how long refunds usually take', 'I am trying to check how long refunds usually take', 'I need assistance checking how long refunds take']"
2,43,0.0,"check money, check money policy, checking money, checking money policy, money policy","['can you show me your money back policy?', 'I do not know how I could check your money back policy', 'what do I have to do to check your money back policy?']"
45,42,0.0,"check status, check status order, checking status, checking status order, status order","['help me to check the status of my order', 'I need to check the status of my order', 'status of order']"
65,40,0.0,"help recover, help recover password, know recover, know recover password, recover password","['where can I recover my password?', 'I do not know what to do to recover my password', 'can you help me to recover my password?']"
20,40,0.0,"getting money, help getting, help getting money, help money, know money","[""I don't know how to get my money back"", 'I do not know what I need to do to get my money back', ""I don't know what I need to do to get my money back""]"
9,38,0.0,"help track, know track, know track refund, track refund, tracking refund","[""I don't know how I can track the refund"", ""I don't know how I could track the refund"", 'I do not know how I can track the refund']"
42,38,0.0,"don know, need assistance, need help, talk assistant, talk somebody","['I need assistance chatting witth a person', 'need help to talk with somebody', 'I want help chatting with someone']"
26,36,-0.033,"consumer reclamation, consumer reclamation ur, customer reclamation, reclamation company, reclamation ur","['what do I have to do to make a consumer reclamation?', ""I'm trying to lodge an reclamation"", 'can I make a consumer reclamation against your organization?']"
53,33,0.023,"company newsletter, corporate newsletter, help unsubscribe, unsubscribe newsletter, unsubscribe ur","['I cannot unsubscribe to the company newsletter', 'help me to unsubscribe to your corporate newsletter', 'i have got to unsubscribe from the company newsletter']"
37,32,0.044,"check early termination, early termination, termination charge, termination charges, termination fee","['is it possible to check the termination fees', 'I need help to see the early termination charge', 'can uhelp me see the early termination charges']"
54,32,0.0,"account pin, account pin code, need help, pin code, user account pin","['I need help to recover the PIN code of my account', 'I need help resetting the PIN code of my account', 'I do not know what to do to reset my online account PIN']"
48,32,-0.048,"check long, check long delivery, delivery takes, long delivery, long delivery takes","['assistance to check how long the delivery takes', 'how to check how long the delivery takes?', 'I need assistance checking how long the delivery takes']"
94,31,0.0,"don know, don know register, help register, help registering, know register","['help me registering', 'could you help me registering?', 'I need to register']"
25,30,-0.02,"check withdrawal, know check, know check withdrawal, withdrawal charge, withdrawal penalties","['help checking the withdrawal charges', 'i do not know hwat to do to see the withdrawal charges', ""I don't know what to do to check the withdrawal penalty""]"
104,28,0.005,"help use, help use account, help using, use account, using account","['what do i need to do to use a different account', 'could you help me use another account?', 'I would like to use another account']"
66,28,0.071,"information password, information password recovery, password recovery, tell password, tell password recovery","['tell me more about a password recovery', 'could you tell me more about a password recovery?', 'where could I find information about a password recovery?']"
98,28,0.071,"need assistance, new profile, switch different, use new, user profile","['I need assistance switching to another user profile', 'how to use my new profile ?', 'i need assistance to switch to a different user profile']"
35,27,0.0,"check soon, check soon expect, expect item, soon expect, soon expect item","['help me to check how soon can I expect the item', 'assistance to check how soon can I expect the item', 'will you show me how soon can I expect the item?']"
58,25,-0.032,"claim company, claim organization, claim ur, customer claim, file customer claim","['how do i mke a customer claim against ur business', 'I want assistance lodging a claim against your organization', ""I don't know how I can make a customer claim""]"
59,24,0.0,"add items, add items order, help add, item order, items order","['help with adding an item to an order', 'is it possible to add some items to an order?', 'help to add several items to an order']"
10,23,0.0,"check updates, check updates refund, help check, help check updates, updates refund","['help checking if there is any updates on my refund', 'where can I check if there is any updates on my refund?', 'can you help me check if there is any updates on my refund?']"
18,23,0.0,"feedback company, submit feedback, submit feedback company, submitting feedback, submitting feedback company","['where do I submit some feedback for your company?', 'help me submitting some feedback for your company', 'can you help me submitting some feedback for your company?']"
91,23,0.0,"different shipping, different shipping address, set different, set different shipping, shipping address","['help me setting up a different shipping address', 'I need assistance to set a different shipping address up', 'I want assistance setting a different shipping address up']"
15,22,0.136,"check new, check new refund, checking new, checking new refund, new refund","['assistance to check if there is anything new on my refund', 'I cannot check if there is anything new on my refund', 'assistance checking if there is anything new on my refund']"
50,21,0.0,"assistance make, assistance make order, know make, know make order, make order","['make order', 'I do not know what I have to do to make an order', 'make an order']"
95,21,0.0,"help regarding, help regarding registration, help registration, need help, regarding registration","['help with the registration', 'help regarding our registration', 'I want help with the registration']"
47,21,0.0,"check soon, check soon expect, expect delivery, soon expect, soon expect delivery","['I am trying to check how soon can I expect the delivery', 'where could I check how soon can I expect the delivery?', 'will you show me how soon can I expect the delivery?']"
23,19,0.0,"help submit, help submit feedback, help submitting feedback, submit feedback, submitting feedback","['I want assistance to submit some feedback', 'I want help submitting some feedback', 'how could I submit some feedback?']"
43,18,0.0,"check delivery, check delivery going, delivery going, delivery going arrive, going arrive","['I want help to check when my delivery is going to arrive', 'I need help checking when my delivery is going to arrive', 'is it possible to check when my delivery is going to arrive?']"
38,18,0.028,"check termination penalties, early termination, early termination penalties, termination penalties, termination penalty","['help to see the termination penalties', 'what do i need to do to check the termination penalties', 'I try to check the eazrly termination penalty']"
75,17,0.118,"address change, information shipping, information shipping address, shipping address, shipping address change","['can you tell me more about a shipping address change?', 'tell me about a shipping address change', 'can you give me information about a shipping address change?']"
5,15,0.0,"ask money, cases ask, cases ask money, check cases, check cases ask","['check under what circumstances can I ask for my money back', 'help me to check in what cases can I ask for my money back', 'I want to check in what cases can I ask for my money back']"
63,15,0.0,"correct address, edit address, know edit, know edit address, trying edit address","['what do i need to do to edit the address', 'I do not knlw what I have to do to correct the address', 'I am trying to edit my address']"
77,15,0.009,"account mom, account mother, account mum, online account, online account mom","['help to create an online account for my mom', 'I need assistance creating another account for my mum', 'I am trying to open a different account for my mum']"
84,14,0.0,"different shipping address, issue setting, setting shipping, setting shipping address, shipping address","['issue setting up a different shipping address', 'issues setting up another shipping address', 'I try to set up a different shipping address']"
14,14,-0.5,"check wrong, check wrong refund, help check, help check wrong, wrong refund","['where do I check if there is anything wrong with my refund?', ""I can't check if there is anything wrong with my refund"", 'check if there is anything wrong with my refund']"
33,14,0.0,"assistance cancellation, cancellation penalties, cancellation penalty, check cancellation, help seeing","['i need help to see the cancellation penalty', 'I need help to check the cancellation penalties', 'want help to check the cancellation penalty']"
71,14,-0.036,"correct delivery, correct delivery address, delivery address, trying correct, update delivery","['help me correct my delivery address', 'assistance trying to correct my delivery address', 'there is a problem trying to update the delivery address']"
88,14,0.0,"inform signup, report sign, report sign error, report signup, signup issue","['I cannot sign up , I want to report signup problems', 'i try to report a sign-up error', 'i dont know what i need to do to inform of signup issues']"
55,13,0.0,"access key, account access, account access key, account key, user account","['i want assistance to restore my user account access key', 'how can i reset my online account access key', 'what do I need to do to restore my user account access key?']"
60,13,0.0,"add items, adding items, help add, help add items, need help","['help with adding some items', 'I need help adding several items', 'help adding an item']"
86,13,0.0,"know set, know set shipping, set shipping, set shipping address, shipping address","[""I don't know how to set another shipping address up"", 'I do not know how I can set up another shipping address', 'how to set another shipping address up?']"
11,13,0.0,"assistance speaking, assistance speaking operator, dont know, know need, speak operator","['i dont know what i need to do to speak with an operator', 'help me contacting an operator', 'how do I talk to an operator?']"
85,13,0.0,"help notify, inform sign, notify sign, notify signup, notify signup issue","['i cannot sign up need assistance to notify of a signup issue', 'I am trying to notify of signup problems', 'informing of error with sign-up']"
83,12,0.0,"different shipping, set different shipping, set shipping, set shipping address, shipping address","['where to set up another shipping address?', 'where could I set up another shipping address?', 'where can I set up a different shipping address?']"
56,12,0.0,"canceling subscription, help canceling, need help, newsletter subscription, subscription newsletter","['need help cancelling my newsletter subscription', 'help me cancel the subscription to the newsletter', 'need help canceling the subscription to ur newsletter']"
89,12,0.0,"set shipping, set shipping address, setting shipping, setting shipping address, shipping address","['I need assistance setting up another shipping address', 'I need assistance to set up another shipping address', 'I need help setting up another shipping address']"
76,11,0.0,"possible set, set different, set shipping, set shipping address, shipping address","['would it be possible to set another shipping address up?', 'is it possible to set up another shipping address?', 'is it possible to set another shipping address up?']"
96,10,0.0,"issue registering, issue registration, issues registration, registration issue, registration issues","['registration issue', 'issue with registration', 'I have a registration issue']"
52,10,0.0,"don want, don want pay, pay order, want pay, want pay order","['I do not want to pay for the order I made', ""I can't pay for the order I have made"", ""I can't pay for my last order""]"
87,10,0.0,"different shipping, different shipping address, set different, set different shipping, shipping address","['I do not know how to set a different shipping address up', 'how do I set a different shipping address up?', 'I do not know how I can set a different shipping address up']"
27,9,0.1,"early exit, early exit penalties, early exit penalty, exit penalties, exit penalty","['i do not know how i can see the early exit penalty', ""I can't find the early exit penalties"", 'where do i check the early exit penalties']"
90,9,0.0,"help set, help set shipping, set shipping, set shipping address, shipping address","['could you help me setting another shipping address up?', 'can you help me setting up another shipping address?', 'can you help me setting another shipping address up?']"
73,9,-0.261,"canceling secondary, canceling secondary account, help canceling, need help canceling, secondary account","['i need help canceling the secondary account', 'I have a problem with the removal of a secondary account', 'help me to cancel a secondary account']"
93,8,0.0,"correct user, correct user info, correcting user information, help correcting, user information","['I need assistance correcting my user information', ""I don't know what I need to do to correct my user details"", 'I have to correct the details on my user profile']"
82,8,0.034,"account dad, create new, help create, user account, user account dad","['I need to create another account for my dad', 'help me create a new user account for my father', 'help to create a different user account for my dad']"
34,8,0.1,"early exit, early exit fee, early exit fees, exit fee, exit fees","[""I don't know what I need to do to check the early exit fees"", 'where to cjeck the early exit fee?', 'i have to see te early exit fees can i get some help']"
101,7,0.0,"different account, know open, open different, open different account, open user account","['help opening a different account', 'I do not know how to open another user account', ""I don't know how to open a user account""]"
7,7,-0.079,"check long, check long refunds, long refunds, long refunds usually, possible check","['is it possible to check how long refunds usually take?', 'is it possible to check how long refunds take?', 'would it be possible to check how long refunds take?']"
3,7,-0.007,"expect refund, getting refund, getting refund money, going refund, refund money","['when will I get a refund of money?', 'when can I expect a refund of money', 'when am I getting a refund of money?']"
46,7,-0.4,"customer claim, happy ur, happy ur services, lodge claim, try lodge","[""I'm not happy with ur services help to lodge a claim"", 'I am not happy with your services, make a claim', ""I'm not happy with ur service help me make an customer claim""]"
62,7,0.071,"company newsletter, company newsletter subscription, newsletter subscription, tell company, tell company newsletter","['could you tell me about the company newsletter subscription?', 'can you tell me about the company newsletter subscription?', 'tell me more about the company newsletter subscription']"
92,7,0.0,"different shipping, different shipping address, help set, set different shipping, shipping address","['could you help me set a different shipping address up?', 'could you help me setting up a different shipping address?', 'could you help me set up a different shipping address?']"
0,6,0.1,"break contract, breaking contract, broke contract, charge breaking, charge breaking contract","['what is the charge for breaking the contract?', 'what are the charges for breaking the contract?', 'how much does it cost to break the contract?']"
80,6,0.0,"help regarding, help regarding sign, need help, need help regarding, regarding sign","['i need help to sign up', 'I need help regarding our sign-up', 'need help regarding our account signup']"
72,5,0.136,"address valid, new shipping, new shipping address, shipping address, shipping address valid","[""why isn't my new shipping address valid"", 'why I cannot set up a new shipping address valid', ""the new shipping address isn't valid""]"
69,5,-0.3,"complaint ur, complaint ur company, file complaint, need help, ur company","['I need help lodging a complaint against your company', 'making complaint against ur company', 'i want assistance to file a complaint against ur company']"
67,5,0.0,"forgotten password, forgotten passwords, problem forgotten, problem forgotten passwords, problems forgotten","['i have a problem with forgotten passwords', 'I have a problem with forgotten passwords', 'problem with forgotten passwords']"
102,5,0.082,"create new, got create, new online, new online account, online account","['help to create another online account', 'I have got to create a new online account', 'i want help creating a new online account']"
