Queries,cleaned_queries,kmeans_cluster,hdbscan_cluster,x,y
assistance checking when my delivery is going to arrive,assistance checking when my delivery is going to arrive,7,-1,59.940918,52.441235
assistance checking when my item is going to arrive,assistance checking when my item is going to arrive,7,39,65.27037,46.283028
assistance checking your allowed payment methods,assistance checking your allowed payment methods,1,16,29.760006,-21.926258
assistance checking your refund policy,assistance checking your refund policy,0,12,10.790578,-56.594524
assistance contacting an agent,assistance contacting an agent,9,29,-21.174086,9.203386
assistance contacting customer service,assistance contacting customer service,9,41,-18.482855,-17.748522
assistance creating a bloody new account,assistance creating a bloody new account,2,-1,-47.641266,-2.7856827
assistance creating a new user account,assistance creating a new user account,2,-1,-54.944065,-1.3057116
assistance creating an online account,assistance creating an online account,2,-1,-44.905178,-4.3311825
assistance deleting an account,assistance deleting an account,2,78,-36.912495,-26.555332
assistance deleting the account,assistance deleting the account,2,78,-36.630814,-26.818024
assistance editing my account,assistance editing my account,2,99,-70.53036,7.138467
assistance editing my delivery address,assistance editing my delivery address,4,-1,-32.082436,51.37992
assistance filing a claim against ur business,assistance filing a claim against ur business,9,-1,-1.7287853,-34.156437
assistance filing a complaint,assistance filing a complaint,9,64,14.039752,-34.522133
assistance filing a complaint against your business,assistance filing a complaint against your business,9,70,0.84497064,-41.757153
assistance filing a customer claim against your company,assistance filing a customer claim against your company,9,58,-0.8024782,-33.04371
assistance finding my invoice,assistance finding my invoice,3,1,62.398624,-3.870584
assistance finding the invoices,assistance finding the invoices,3,1,62.274883,5.5431085
assistance getting a refund,assistance getting a refund,0,19,4.9071574,-79.60955
assistance getting my money back,assistance getting my money back,0,20,-3.7029495,-83.39265
assistance getting refunds,assistance getting refunds,0,19,5.7802815,-86.46181
assistance getting refunds of money,assistance getting refunds of money,0,19,5.5348086,-83.17178
assistance getting the invoices from eight months ago,assistance getting the invoices from eight months ago,3,1,77.2847,8.823936
assistance leaving a review for a service,assistance leaving a review for a service,9,6,8.387928,-17.133678
assistance leaving a review for your company,assistance leaving a review for your company,9,6,11.73155,-11.721508
assistance lodging a consumer complaint,assistance lodging a consumer complaint,9,-1,9.747229,-39.539433
assistance lodging a reclamation against your organization,assistance lodging a reclamation against your organization,9,26,-9.851253,-35.709606
assistance making a purchase,assistance making a purchase,6,31,4.4316645,54.596397
assistance opening a new account,assistance opening a new account,2,-1,-50.409286,-2.7248695
assistance recovering my password,assistance recovering my password,2,65,-54.93324,-41.536713
assistance registering,assistance registering,8,-1,-40.82393,14.889341
assistance reporting a payment issue,assistance reporting a payment issue,1,21,60.290966,-35.882946
assistance reporting a registration issue,assistance reporting a registration issue,8,97,-47.692524,32.38456
assistance reporting issues with payment,assistance reporting issues with payment,1,21,60.168133,-36.640713
assistance reporting issues with payments,assistance reporting issues with payments,1,21,60.163906,-36.769306
assistance reporting payment issues,assistance reporting payment issues,1,21,60.154163,-36.67305
assistance reporting registration issues,assistance reporting registration issues,8,-1,-47.333153,32.511852
assistance seeing the termination penalty,assistance seeing the termination penalty,5,38,-32.807133,-66.46909
assistance setting a different shipping address up,assistance setting a different shipping address up,4,-1,-15.630371,74.12291
assistance setting a new shipping address up,assistance setting a new shipping address up,4,81,-31.436068,74.06991
assistance setting another shipping address up,assistance setting another shipping address up,4,-1,-17.829027,72.47641
assistance setting up a different shipping address,assistance setting up a different shipping address,4,-1,-14.506795,73.61801
assistance setting up a new shipping address,assistance setting up a new shipping address,4,81,-31.75245,73.99068
assistance setting up another shipping address,assistance setting up another shipping address,4,89,-17.987808,72.998665
assistance solving an issue with payment,assistance solving an issue with payment,1,22,33.92629,-37.680145
assistance solving an issue with payments,assistance solving an issue with payments,1,22,33.97175,-38.240997
assistance solving issues with payment,assistance solving issues with payment,1,22,33.760406,-37.691944
assistance speaking with an agent,assistance speaking with an agent,9,29,-17.09922,3.4341645
assistance submitting some feedback for a service,assistance submitting some feedback for a service,9,24,-3.155174,-9.973168
assistance submitting some feedback for your company,assistance submitting some feedback for your company,9,18,2.0892794,-2.7176504
assistance subscribing to your company newsletter,assistance subscribing to your company newsletter,9,61,-9.488927,23.928999
assistance switching to another account,assistance switching to another account,2,-1,-60.641346,-7.9126487
assistance switching user,assistance switching user,2,-1,-71.24429,-18.449522
assistance taking a quick look at the invoices from May,assistance taking a quick look at the invoices from may,3,1,82.10513,-8.159207
assistance talking to an agent,assistance talking to an agent,9,29,-17.199135,3.802004
assistance talking to an assistant,assistance talking to an assistant,9,42,-17.666872,-6.701661
assistance to buy several of your item,assistance to buy several of your item,6,31,-6.9662504,54.144524
assistance to buy some of your item,assistance to buy some of your item,6,31,-6.6674147,54.893528
assistance to buy something,assistance to buy something,6,31,-5.387933,55.772053
assistance to cancel my corporate newsleter subscription,assistance to cancel my corporate newsleter subscription,5,-1,-29.566814,28.386774
assistance to cancel the goddamn user account,assistance to cancel the goddamn user account,2,-1,-33.033745,-28.809769
assistance to change an order,assistance to change an order,6,49,17.859049,27.751738
assistance to change my order,assistance to change my order,6,49,18.428885,27.282747
assistance to change my personal details,assistance to change my personal details,2,-1,-88.84838,13.741651
assistance to change my shipping address,assistance to change my shipping address,4,74,-39.384117,55.550304
assistance to change the details included on my user profile,assistance to change the details included on my user profile,2,-1,-81.66073,5.3820753
assistance to change the info included on my user profile,assistance to change the info included on my user profile,2,-1,-81.789696,5.3762264
assistance to change the shipping address,assistance to change the shipping address,4,74,-40.178467,54.63592
assistance to check how long refunds take,assistance to check how long refunds take,0,8,54.22036,-72.30662
assistance to check how long refunds usually take,assistance to check how long refunds usually take,0,8,54.140396,-72.30401
assistance to check how long the delivery takes,assistance to check how long the delivery takes,7,48,49.520554,56.32905
assistance to check how soon can I expect the item,assistance to check how soon can i expect the item,7,35,77.1869,39.402016
assistance to check if there is anything new on my refund,assistance to check if there is anything new on my refund,0,15,43.924503,-57.56764
assistance to check in what cases can I ask for refunds,assistance to check in what cases can i ask for refunds,0,4,-0.9602976,-61.721
assistance to check my order ETA,assistance to check my order eta,6,40,65.73309,24.559145
assistance to check my refund status,assistance to check my refund status,0,13,32.55506,-58.95474
assistance to check the available payment options,assistance to check the available payment options,1,16,32.080486,-11.989258
assistance to check the cancellation fee,assistance to check the cancellation fee,5,32,-17.984396,-50.7761
assistance to check the cancellation fees,assistance to check the cancellation fees,5,32,-17.22061,-50.614235
assistance to check the early termination fees,assistance to check the early termination fees,5,37,-33.964745,-61.343708
assistance to check the early termination penalty,assistance to check the early termination penalty,5,38,-32.277542,-65.36775
assistance to check the invoice from 5 purchases ago,assistance to check the invoice from 5 purchases ago,3,1,43.922016,1.936837
assistance to check the invoices from last month,assistance to check the invoices from last month,3,1,81.44012,3.5334702
assistance to check the options for delivery,assistance to check the options for delivery,7,30,11.03527,74.2673
assistance to check the status of my order,assistance to check the status of my order,6,45,49.484547,35.327213
assistance to check what delivery options I can choose,assistance to check what delivery options i can choose,7,30,16.486612,78.25773
assistance to check what hours customer service available is,assistance to check what hours customer service available is,7,17,43.556374,21.377785
assistance to check what options for delivery you offer,assistance to check what options for delivery you offer,7,30,17.33558,80.1578
assistance to check what payment methods are available,assistance to check what payment methods are available,1,16,43.338356,-19.456985
assistance to check what payment methods you accept,assistance to check what payment methods you accept,1,16,42.11392,-17.476046
assistance to check when my item is going to arrive,assistance to check when my item is going to arrive,7,39,65.2518,45.755325
assistance to check your allowed payment methods,assistance to check your allowed payment methods,1,16,29.949295,-21.783794
assistance to check your refund policy,assistance to check your refund policy,0,12,10.933993,-56.582966
assistance to contact a person,assistance to contact a person,9,41,-21.824865,-12.74678
assistance to contact customer service,assistance to contact customer service,9,41,-18.412685,-17.949203
assistance to create an account,assistance to create an account,2,103,-43.306465,-1.4719074
assistance to delete my account,assistance to delete my account,2,78,-38.96102,-26.793758
assistance to edit my account,assistance to edit my account,2,99,-70.416626,7.589351
assistance to edit my personal information,assistance to edit my personal information,2,100,-88.50983,16.649559
assistance to edit the information on my account,assistance to edit the information on my account,2,99,-76.32098,9.05457
assistance to file a complaint,assistance to file a complaint,9,64,14.096473,-35.283764
assistance to file a complaint against your business,assistance to file a complaint against your business,9,70,1.1327282,-41.72144
assistance to file a complaint against your organizxation,assistance to file a complaint against your organizxation,9,-1,14.806785,-34.8774
assistance to find the invoice,assistance to find the invoice,3,1,62.82675,-4.6406198
assistance to find the invoice from 4 purchases ago,assistance to find the invoice from 4 purchases ago,3,1,44.83168,1.6518782
assistance to find the invoices from January,assistance to find the invoices from january,3,1,82.600075,-1.9096465
assistance to get a refund of money,assistance to get a refund of money,0,19,5.673988,-82.16343
assistance to get my invoice,assistance to get my invoice,3,1,63.81199,-5.431523
assistance to get my money back,assistance to get my money back,0,20,-3.7454722,-83.30032
assistance to get refunds of money,assistance to get refunds of money,0,19,5.735559,-83.05438
assistance to get the invoice from 3 purchases ago,assistance to get the invoice from 3 purchases ago,3,1,45.864365,2.0029783
assistance to get the invoice from last month,assistance to get the invoice from last month,3,1,78.92347,0.5109522
assistance to get the invoices from December,assistance to get the invoices from december,3,1,80.40177,-2.9469047
assistance to get the invoices from last month,assistance to get the invoices from last month,3,1,81.744415,0.9984246
assistance to leave a review,assistance to leave a review,9,6,10.887094,-15.852998
assistance to make a consumer complaint,assistance to make a consumer complaint,9,-1,9.604564,-39.441402
assistance to make a purchase,assistance to make a purchase,6,31,4.492772,54.476643
assistance to make an order,assistance to make an order,6,50,15.046742,37.520546
assistance to notify of a bloody sign-up problem,assistance to notify of a bloody sign-up problem,8,-1,-54.754368,12.964243
assistance to open a new user account for my mum,assistance to open a new user account for my mum,2,77,-43.718475,-10.818001
assistance to receive the company newsletter,assistance to receive the company newsletter,9,-1,-10.695163,22.986115
assistance to recover my account PIN,assistance to recover my account pin,2,54,-65.15114,-32.990463
assistance to recover my password,assistance to recover my password,2,65,-54.751057,-41.165344
assistance to register,assistance to register,8,94,-40.346687,15.014082
assistance to remove an item,assistance to remove an item,6,28,-1.1462597,16.302286
assistance to report a payment issue,assistance to report a payment issue,1,21,60.77216,-34.809986
assistance to report a registration issue,assistance to report a registration issue,8,97,-50.006832,30.694508
assistance to report issues with payment,assistance to report issues with payment,1,21,61.410027,-35.34696
assistance to report issues with payments,assistance to report issues with payments,1,21,61.81031,-36.10006
assistance to report payment issues,assistance to report payment issues,1,21,61.366554,-35.430397
assistance to report registration issues,assistance to report registration issues,8,97,-49.037155,29.765184
assistance to retrieve my user account password,assistance to retrieve my user account password,2,-1,-53.32138,-43.72874
assistance to see the cancellation penalties,assistance to see the cancellation penalties,5,33,-19.514378,-57.957474
assistance to see the cancellation penalty,assistance to see the cancellation penalty,5,33,-19.667593,-57.715057
assistance to see what payment methods are accepted,assistance to see what payment methods are accepted,1,16,43.188236,-17.70482
assistance to see what payment options are avaqilable,assistance to see what payment options are avaqilable,1,16,31.898222,-11.462381
assistance to set a different shipping address up,assistance to set a different shipping address up,4,91,-15.355733,74.199875
assistance to set a new shipping address up,assistance to set a new shipping address up,4,81,-31.568459,74.120415
assistance to set another shipping address up,assistance to set another shipping address up,4,-1,-17.820341,72.68329
assistance to set up a different shipping address,assistance to set up a different shipping address,4,91,-14.424758,73.687416
assistance to set up a new shipping address,assistance to set up a new shipping address,4,81,-31.825897,74.015144
assistance to set up another shipping address,assistance to set up another shipping address,4,89,-18.006916,73.078995
assistance to solve a payment issue,assistance to solve a payment issue,1,22,34.309357,-37.461246
assistance to solve an issue with payments,assistance to solve an issue with payments,1,22,34.333366,-38.329746
assistance to solve issues with payment,assistance to solve issues with payment,1,22,34.413296,-37.484005
assistance to solve issues with payments,assistance to solve issues with payments,1,22,34.247147,-38.242073
assistance to solve payment issues,assistance to solve payment issues,1,22,34.37343,-37.434574
assistance to speak to a fucking agent,assistance to speak to a fucking agent,9,29,-16.807701,4.000565
assistance to submit some feedback for a service,assistance to submit some feedback for a service,9,24,-3.1916335,-9.793599
assistance to submit some feedback for your company,assistance to submit some feedback for your company,9,18,2.0061169,-2.6495988
assistance to submit some feedback for your services,assistance to submit some feedback for your services,9,24,-4.201561,-8.475164
assistance to subscribe to your company newsletter,assistance to subscribe to your company newsletter,9,61,-10.1271925,24.220875
assistance to subscribe to your corporate newsletter,assistance to subscribe to your corporate newsletter,9,-1,-10.3860655,23.905653
assistance to switch to another account,assistance to switch to another account,2,105,-60.448925,-8.144166
assistance to switch user,assistance to switch user,2,106,-71.368,-17.790804
assistance to take a quick look at my invoice,assistance to take a quick look at my invoice,3,1,64.61622,-0.6608238
assistance to take a quick look at the invoice,assistance to take a quick look at the invoice,3,1,65.249306,-0.5790282
assistance to take a quick look at the invoice from July,assistance to take a quick look at the invoice from july,3,1,72.775566,-2.4180613
assistance to talk to an agent,assistance to talk to an agent,9,29,-17.354256,4.21278
assistance to track an order,assistance to track an order,6,44,22.035095,44.169075
assistance to track my order,assistance to track my order,6,44,23.76291,44.391216
assistance to track the last order,assistance to track the last order,6,44,34.797535,39.330093
assistance to track the refund,assistance to track the refund,0,9,30.326687,-74.84131
assistance to use another account,assistance to use another account,2,104,-49.50142,-11.361622
assistance toi notify of a sign-up problem,assistance toi notify of a sign-up problem,8,-1,-54.827286,13.4008665
assistance tracking an order,assistance tracking an order,6,44,21.82984,43.700603
assistance tracking the refund,assistance tracking the refund,0,9,30.402498,-74.63397
assistance trying to correct my delivery address,assistance trying to correct my delivery address,4,71,-30.835707,53.677948
assistance using another account,assistance using another account,2,104,-49.18953,-11.583991
assistance using my new user account,assistance using my new user account,2,-1,-55.996895,-3.091392
assistance using my new user profile,assistance using my new user profile,2,98,-75.54839,-4.216713
assistance with a shipping address change,assistance with a shipping address change,4,-1,-44.444042,53.79246
assistance with cancelling the order I have made,assistance with cancelling the order i have made,5,51,14.051424,5.9469733
assistance with cancelling the order I made,assistance with cancelling the order i made,5,51,14.106633,5.8076997
assistance with changing an order,assistance with changing an order,6,49,17.560543,27.577652
assistance with changing several items of an order,assistance with changing several items of an order,6,49,13.286174,26.807201
assistance with removing several items from an order,assistance with removing several items from an order,6,28,0.19300891,19.840704
ay are not being helpful can i speak with a live agent,ay are not being helpful can i speak with a live agent,9,29,-16.10409,10.064712
buy a few of your item,buy a few of your item,6,31,-3.9536672,47.172157
buy several of your item,buy several of your item,6,31,-3.964682,47.17664
buy some items,buy some items,6,31,-3.182038,52.05591
can i call customer assistance,can i call customer assistance,9,41,-17.729752,-16.114437
can I cancel the company newsletter subscription?,can i cancel the company newsletter subscription?,5,57,-30.303337,32.86002
can I cancel the subscription to your company newsletter?,can i cancel the subscription to your company newsletter?,5,57,-30.296213,32.902046
can I change my shipping address?,can i change my shipping address?,4,74,-42.973476,60.27408
can I change the last order?,can i change the last order?,6,49,23.123428,26.651114
can I change the order I have made?,can i change the order i have made?,6,49,19.840136,30.30822
can I change the order I made?,can i change the order i made?,6,49,19.841778,30.273502
can I change the shipping address?,can i change the shipping address?,4,74,-42.93401,60.337727
can I changew to another profile?,can i changew to another profile?,2,-1,-76.45427,-7.417928
can I chat with a human agent?,can i chat with a human agent?,9,29,-14.158809,4.3422556
can I check at what time customer service available is?,can i check at what time customer service available is?,7,17,32.454536,17.795385
can I check at what time I can contact customer service?,can i check at what time i can contact customer service?,7,17,32.77893,14.771208
can I check how long refunds take?,can i check how long refunds take?,0,7,53.68373,-68.253006
can I check how long refunds usually take?,can i check how long refunds usually take?,0,7,53.633293,-68.286865
can I check how soon can I expect the item?,can i check how soon can i expect the item?,7,35,76.522125,38.400875
can I check if there is any updates on my refund?,can i check if there is any updates on my refund?,0,10,44.54197,-51.729176
can I check if there is anything wrong with my refund?,can i check if there is anything wrong with my refund?,0,14,40.621956,-59.260437
can I check in what cases can I ask for a refund?,can i check in what cases can i ask for a refund?,0,4,-4.134374,-61.63351
can I check in what cases can I ask for refunds?,can i check in what cases can i ask for refunds?,0,4,-1.3958373,-60.425186
can I check in what cases can I ask to be refunded?,can i check in what cases can i ask to be refunded?,0,4,-4.2265077,-61.595142
can I check my invoice?,can i check my invoice?,3,1,58.073437,-1.4141169
can I check my refund status?,can i check my refund status?,0,13,25.345129,-60.52349
can I check the cancellation fee?,can i check the cancellation fee?,5,32,-14.000168,-50.048737
can I check the cancellation fees?,can i check the cancellation fees?,5,32,-14.032717,-50.13578
can I check the delivery options?,can i check the delivery options?,7,30,18.045574,68.340996
can I check the options for delivery?,can i check the options for delivery?,7,30,18.029404,68.224846
can I check the refund status?,can i check the refund status?,0,13,25.422743,-60.769665
can I check under what circumstances can I ask for a refund?,can i check under what circumstances can i ask for a refund?,0,4,1.1080599,-61.06641
can I check what delivery options I have?,can i check what delivery options i have?,7,30,16.944939,68.548225
can I check what hours customer service available is?,can i check what hours customer service available is?,7,17,44.500034,20.972878
can I check what hours I can contact customer service?,can i check what hours i can contact customer service?,7,17,38.36922,21.882853
can I check what options for delivery I can choose?,can i check what options for delivery i can choose?,7,30,17.548334,67.8702
can I check what options for delivery you offer?,can i check what options for delivery you offer?,7,30,16.183586,82.982185
can I check what payment methods you accept?,can i check what payment methods you accept?,1,16,44.541195,-14.917847
can I check when my item is going to arrive?,can i check when my item is going to arrive?,7,39,64.39974,43.730488
can I check when will my item arrive?,can i check when will my item arrive?,7,39,65.23382,42.73616
can I check your money back policy?,can i check your money back policy?,0,2,-19.19059,-79.3824
can I check your refund policy?,can i check your refund policy?,0,12,13.23375,-57.669174
can I contact customer service?,can i contact customer service?,9,41,-19.371204,-21.68956
can I create an account?,can i create an account?,2,-1,-41.1884,1.5721252
can I delete my account?,can i delete my account?,2,-1,-43.024014,-30.810785
can I edit my personal information?,can i edit my personal information?,2,100,-87.13594,18.456816
can I edit the information on my account?,can i edit the information on my account?,2,99,-73.938835,12.402479
can I file a complaint against your business?,can i file a complaint against your business?,9,70,3.099647,-43.47733
can I file a complaint?,can i file a complaint?,9,64,13.54497,-39.568512
can I get my invoices?,can i get my invoices?,3,1,64.1195,8.273831
can I get the invoice from November?,can i get the invoice from november?,3,1,74.28805,-6.751884
can I get the invoices from 6 purchases ago?,can i get the invoices from 6 purchases ago?,3,1,45.57989,6.099582
can I get the invoices from last month?,can i get the invoices from last month?,3,1,84.21777,1.7202754
can I get the invoices from my last purchase?,can i get the invoices from my last purchase?,3,1,50.240204,1.8914381
can I get the invoices?,can i get the invoices?,3,1,64.26383,8.005125
can I leave a review?,can i leave a review?,9,6,14.912716,-17.92723
can i lodge a consumer complaint against ur company,can i lodge a consumer complaint against ur company,9,-1,6.9849186,-39.07565
can I lodge a consumer complaint?,can i lodge a consumer complaint?,9,-1,8.420622,-39.384167
can I make a consumer reclamation against your organization?,can i make a consumer reclamation against your organization?,9,26,-7.985433,-34.20207
can I open a different account?,can i open a different account?,2,-1,-53.0453,-7.7258606
can I open a different online account?,can i open a different online account?,2,-1,-52.66069,-7.691312
can I pay with amex?,can i pay with amex?,5,-1,-11.866138,-50.70374
can I pay with Google Pay?,can i pay with google pay?,1,-1,35.866863,-14.995242
can I recover my password?,can i recover my password?,2,-1,-55.723198,-43.416897
can I recover my uswer account pass?,can i recover my uswer account pass?,2,-1,-54.6476,-44.90545
can I register?,can i register?,8,-1,-37.123287,16.844618
can I remove several items?,can i remove several items?,6,28,-2.0500102,18.97031
can I report a registration issue?,can i report a registration issue?,8,97,-53.45943,33.39672
can I report registration issues?,can i report registration issues?,8,97,-53.494873,33.47774
can I restore the goddamn PIN code of my account?,can i restore the goddamn pin code of my account?,2,54,-65.63809,-33.83723
can i see at what time i can contact customer assistance,can i see at what time i can contact customer assistance,7,17,37.651615,16.422771
can I see at what time I can contact customer assistance?,can i see at what time i can contact customer assistance?,7,17,37.65663,16.42003
can I see at what time I can reach customer assistance?,can i see at what time i can reach customer assistance?,7,17,37.679195,16.476978
can I see the termination charges?,can i see the termination charges?,5,37,-34.63864,-63.618416
can i see what hours i can call customer assistance,can i see what hours i can call customer assistance,7,17,40.543896,19.21569
can I see what hours I can call customer assistance?,can i see what hours i can call customer assistance?,7,17,40.538086,19.230816
can I set a new shipping address up?,can i set a new shipping address up?,4,-1,-25.242357,83.461395
can I set another shipping address up?,can i set another shipping address up?,4,76,-23.394642,83.47038
can I set up another shipping address?,can i set up another shipping address?,4,76,-23.402992,83.480255
can I submit some feedback for a service?,can i submit some feedback for a service?,9,24,-1.9701256,-8.356472
can I submit some feedback for your company?,can i submit some feedback for your company?,9,18,1.2071,-2.0914752
can I submit some feedback?,can i submit some feedback?,9,23,-2.2968817,-2.691948
can I subscribe to your company newsletter?,can i subscribe to your company newsletter?,9,61,-10.011525,27.709318
can I switch to another account?,can i switch to another account?,2,105,-55.802128,-9.433564
can I switch user?,can i switch user?,2,106,-73.5006,-16.348724
can I take a quick look at my invoices?,can i take a quick look at my invoices?,3,1,63.940952,2.1554778
can I talk to an agent?,can i talk to an agent?,9,29,-21.097195,3.179434
can I talk to customer support?,can i talk to customer support?,9,41,-13.185607,-18.863554
can I track an order?,can i track an order?,6,44,22.150187,50.060417
can I track my last order?,can i track my last order?,6,44,35.000175,44.418465
can I track the last order?,can i track the last order?,6,44,35.578274,43.73067
can I unsubscribe to your corporate newsletter?,can i unsubscribe to your corporate newsletter?,9,53,-19.857836,35.57276
can I use another account?,can i use another account?,2,-1,-52.99579,-9.672945
can i use my new fucking account,can i use my new fucking account,2,-1,-53.643047,-10.470097
can icreate a user account,can icreate a user account,2,-1,-41.03114,2.3298435
can uhelp me cancel my subscription to ur newsletter,can uhelp me cancel my subscription to ur newsletter,5,-1,-28.09609,26.118086
can uhelp me changing the damn data on my user account,can uhelp me changing the damn data on my user account,2,-1,-78.397354,6.2496195
can uhelp me check the cancellation fee,can uhelp me check the cancellation fee,5,32,-17.351175,-53.687298
can uhelp me checkimg the early exit penalty,can uhelp me checkimg the early exit penalty,5,27,-28.899323,-64.124596
can uhelp me edit my online account,can uhelp me edit my online account,2,-1,-67.70813,5.0221677
can uhelp me modify the address,can uhelp me modify the address,4,-1,-31.216341,44.422695
can uhelp me notifying of a registration issue,can uhelp me notifying of a registration issue,8,-1,-48.71698,24.597212
can uhelp me open a new user account,can uhelp me open a new user account,2,-1,-55.36487,-4.81416
can uhelp me opening a new user account,can uhelp me opening a new user account,2,-1,-55.353954,-4.7867036
can uhelp me see the early termination charges,can uhelp me see the early termination charges,5,37,-33.424057,-63.415882
can uhelp me see the withdrawal charges,can uhelp me see the withdrawal charges,5,25,-21.605516,-67.25729
can uhelp me seeing the cancellation fees,can uhelp me seeing the cancellation fees,5,32,-16.9141,-54.096035
can uhelp me signing up to the newsletter,can uhelp me signing up to the newsletter,9,-1,-15.873036,22.330883
can uhelp me speak with a live agent,can uhelp me speak with a live agent,9,29,-14.705369,9.971211
can uhelp me switch to my new account,can uhelp me switch to my new account,2,-1,-56.512367,-8.818542
can uhelp me to cancel the account,can uhelp me to cancel the account,5,-1,-31.189219,-29.702356
can uhelp me to contact someone,can uhelp me to contact someone,9,-1,-23.134329,-12.403733
can uhelp me to open an online account,can uhelp me to open an online account,2,-1,-67.23418,4.7016816
