Queries,cleaned_query,delivery_intent,account_intent,order_intent,refund_intent,primary_intent,needs_help,emotion_risk_flag,requires_order_id,missing_required_entity,automation_suitability_score,can_be_auto_resolved,is_candidate_for_clustering
assistance to get the invoice from 3 purchases ago,assistance to get the invoice from 3 purchases ago,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance to get the invoice from last month,assistance to get the invoice from last month,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance to get the invoices from December,assistance to get the invoices from december,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to get the invoices from last month,assistance to get the invoices from last month,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to leave a review,assistance to leave a review,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to make a consumer complaint,assistance to make a consumer complaint,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to make a purchase,assistance to make a purchase,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance to make an order,assistance to make an order,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance to notify of a bloody sign-up problem,assistance to notify of a bloody signup problem,False,False,False,False,other,True,False,False,False,0.2,False,True
assistance to open a new user account for my mum,assistance to open a new user account for my mum,False,True,False,False,account,False,False,False,False,0.9,True,False
assistance to receive the company newsletter,assistance to receive the company newsletter,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to recover my account PIN,assistance to recover my account pin,False,True,False,False,account,False,False,False,False,0.9,True,False
assistance to recover my password,assistance to recover my password,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to register,assistance to register,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to remove an item,assistance to remove an item,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to report a payment issue,assistance to report a payment issue,False,False,False,False,other,True,False,False,False,0.2,False,True
assistance to report a registration issue,assistance to report a registration issue,False,False,False,False,other,True,False,False,False,0.2,False,True
assistance to report issues with payment,assistance to report issues with payment,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to report issues with payments,assistance to report issues with payments,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to report payment issues,assistance to report payment issues,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to report registration issues,assistance to report registration issues,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to retrieve my user account password,assistance to retrieve my user account password,False,True,False,False,account,False,False,False,False,0.9,True,False
assistance to see the cancellation penalties,assistance to see the cancellation penalties,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to see the cancellation penalty,assistance to see the cancellation penalty,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to see what payment methods are accepted,assistance to see what payment methods are accepted,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to see what payment options are avaqilable,assistance to see what payment options are avaqilable,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to set a different shipping address up,assistance to set a different shipping address up,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance to set a new shipping address up,assistance to set a new shipping address up,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance to set another shipping address up,assistance to set another shipping address up,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance to set up a different shipping address,assistance to set up a different shipping address,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance to set up a new shipping address,assistance to set up a new shipping address,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance to set up another shipping address,assistance to set up another shipping address,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance to solve a payment issue,assistance to solve a payment issue,False,False,False,False,other,True,False,False,False,0.2,False,True
assistance to solve an issue with payments,assistance to solve an issue with payments,False,False,False,False,other,True,False,False,False,0.2,False,True
assistance to solve issues with payment,assistance to solve issues with payment,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to solve issues with payments,assistance to solve issues with payments,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to solve payment issues,assistance to solve payment issues,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to speak to a fucking agent,assistance to speak to a fucking agent,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to submit some feedback for a service,assistance to submit some feedback for a service,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to submit some feedback for your company,assistance to submit some feedback for your company,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to submit some feedback for your services,assistance to submit some feedback for your services,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to subscribe to your company newsletter,assistance to subscribe to your company newsletter,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to subscribe to your corporate newsletter,assistance to subscribe to your corporate newsletter,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to switch to another account,assistance to switch to another account,False,True,False,False,account,False,False,False,False,0.9,True,False
assistance to switch user,assistance to switch user,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to take a quick look at my invoice,assistance to take a quick look at my invoice,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance to take a quick look at the invoice,assistance to take a quick look at the invoice,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance to take a quick look at the invoice from July,assistance to take a quick look at the invoice from july,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance to talk to an agent,assistance to talk to an agent,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance to track an order,assistance to track an order,True,False,True,False,delivery,False,False,True,True,0.9,True,False
assistance to track my order,assistance to track my order,True,False,True,False,delivery,False,False,True,True,0.9,True,False
assistance to track the last order,assistance to track the last order,True,False,True,False,delivery,False,False,True,True,0.9,True,False
assistance to track the refund,assistance to track the refund,True,False,False,True,refund,False,False,True,True,0.3,False,False
assistance to use another account,assistance to use another account,False,True,False,False,account,False,False,False,False,0.9,True,False
assistance toi notify of a sign-up problem,assistance toi notify of a signup problem,False,False,False,False,other,True,False,False,False,0.2,False,True
assistance tracking an order,assistance tracking an order,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance tracking the refund,assistance tracking the refund,False,False,False,True,refund,False,False,True,True,0.3,False,False
assistance trying to correct my delivery address,assistance trying to correct my delivery address,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance using another account,assistance using another account,False,True,False,False,account,False,False,False,False,0.9,True,False
assistance using my new user account,assistance using my new user account,False,True,False,False,account,False,False,False,False,0.9,True,False
assistance using my new user profile,assistance using my new user profile,False,False,False,False,other,False,False,False,False,0.2,False,True
assistance with a shipping address change,assistance with a shipping address change,True,False,False,False,delivery,False,False,True,True,0.9,True,False
assistance with cancelling the order I have made,assistance with cancelling the order i have made,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance with cancelling the order I made,assistance with cancelling the order i made,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance with changing an order,assistance with changing an order,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance with changing several items of an order,assistance with changing several items of an order,False,False,True,False,order,False,False,True,True,0.6,False,False
assistance with removing several items from an order,assistance with removing several items from an order,False,False,True,False,order,False,False,True,True,0.6,False,False
ay are not being helpful can i speak with a live agent,ay are not being helpful can i speak with a live agent,False,False,False,False,other,False,False,False,False,0.2,False,True
buy a few of your item,buy a few of your item,False,False,False,False,other,False,False,False,False,0.2,False,True
buy several of your item,buy several of your item,False,False,False,False,other,False,False,False,False,0.2,False,True
buy some items,buy some items,False,False,False,False,other,False,False,False,False,0.2,False,True
can i call customer assistance,can i call customer assistance,False,False,False,False,other,False,False,False,False,0.2,False,True
can I cancel the company newsletter subscription?,can i cancel the company newsletter subscription,False,False,False,False,other,False,False,False,False,0.2,False,True
can I cancel the subscription to your company newsletter?,can i cancel the subscription to your company newsletter,False,False,False,False,other,False,False,False,False,0.2,False,True
can I change my shipping address?,can i change my shipping address,True,False,False,False,delivery,False,False,True,True,0.9,True,False
can I change the last order?,can i change the last order,False,False,True,False,order,False,False,True,True,0.6,False,False
can I change the order I have made?,can i change the order i have made,False,False,True,False,order,False,False,True,True,0.6,False,False
can I change the order I made?,can i change the order i made,False,False,True,False,order,False,False,True,True,0.6,False,False
can I change the shipping address?,can i change the shipping address,True,False,False,False,delivery,False,False,True,True,0.9,True,False
can I changew to another profile?,can i changew to another profile,False,False,False,False,other,False,False,False,False,0.2,False,True
can I chat with a human agent?,can i chat with a human agent,False,False,False,False,other,False,False,False,False,0.2,False,True
can I check at what time customer service available is?,can i check at what time customer service available is,False,False,False,False,other,False,False,False,False,0.2,False,True
can I check at what time I can contact customer service?,can i check at what time i can contact customer service,False,False,False,False,other,False,False,False,False,0.2,False,True
can I check how long refunds take?,can i check how long refunds take,False,False,False,False,other,False,False,False,False,0.2,False,True
can I check how long refunds usually take?,can i check how long refunds usually take,False,False,False,False,other,False,False,False,False,0.2,False,True
can I check how soon can I expect the item?,can i check how soon can i expect the item,False,False,False,False,other,False,False,False,False,0.2,False,True
can I check if there is any updates on my refund?,can i check if there is any updates on my refund,False,False,False,True,refund,False,False,True,True,0.3,False,False
can I check if there is anything wrong with my refund?,can i check if there is anything wrong with my refund,False,False,False,True,refund,False,False,True,True,0.3,False,False
can I check in what cases can I ask for a refund?,can i check in what cases can i ask for a refund,False,False,False,True,refund,False,False,True,True,0.3,False,False
can I check in what cases can I ask for refunds?,can i check in what cases can i ask for refunds,False,False,False,False,other,False,False,False,False,0.2,False,True
can I check in what cases can I ask to be refunded?,can i check in what cases can i ask to be refunded,False,False,False,False,other,False,False,False,False,0.2,False,True
can I check my invoice?,can i check my invoice,False,False,True,False,order,False,False,True,True,0.6,False,False
can I check my refund status?,can i check my refund status,False,False,False,True,refund,False,False,True,True,0.3,False,False
can I check the cancellation fee?,can i check the cancellation fee,False,False,False,False,other,False,False,False,False,0.2,False,True
can I check the cancellation fees?,can i check the cancellation fees,False,False,False,False,other,False,False,False,False,0.2,False,True
can I check the delivery options?,can i check the delivery options,True,False,False,False,delivery,False,False,True,True,0.9,True,False
can I check the options for delivery?,can i check the options for delivery,True,False,False,False,delivery,False,False,True,True,0.9,True,False
can I check the refund status?,can i check the refund status,False,False,False,True,refund,False,False,True,True,0.3,False,False
can I check under what circumstances can I ask for a refund?,can i check under what circumstances can i ask for a refund,False,False,False,True,refund,False,False,True,True,0.3,False,False
can I check what delivery options I have?,can i check what delivery options i have,True,False,False,False,delivery,False,False,True,True,0.9,True,False
can I check what hours customer service available is?,can i check what hours customer service available is,False,False,False,False,other,False,False,False,False,0.2,False,True
can I check what hours I can contact customer service?,can i check what hours i can contact customer service,False,False,False,False,other,False,False,False,False,0.2,False,True
