Queries,Word_Count,Sentiment,cleaned,Cluster_ID
assistance lodging a reclamation against your organization,7,Neutral,assistance lodging a reclamation against your organization,3
assistance making a purchase,4,Neutral,assistance making a purchase,3
assistance opening a new account,5,Positive,assistance opening a new account,1
assistance recovering my password,4,Neutral,assistance recovering my password,3
assistance registering,2,Neutral,assistance registering,3
assistance reporting a payment issue,5,Neutral,assistance reporting a payment issue,3
assistance reporting a registration issue,5,Neutral,assistance reporting a registration issue,3
assistance reporting issues with payment,5,Neutral,assistance reporting issues with payment,3
assistance reporting issues with payments,5,Neutral,assistance reporting issues with payments,3
assistance reporting payment issues,4,Neutral,assistance reporting payment issues,3
assistance reporting registration issues,4,Neutral,assistance reporting registration issues,3
assistance seeing the termination penalty,5,Neutral,assistance seeing the termination penalty,3
assistance setting a different shipping address up,7,Neutral,assistance setting a different shipping address up,2
assistance setting a new shipping address up,7,Positive,assistance setting a new shipping address up,2
assistance setting another shipping address up,6,Neutral,assistance setting another shipping address up,2
assistance setting up a different shipping address,7,Neutral,assistance setting up a different shipping address,2
assistance setting up a new shipping address,7,Positive,assistance setting up a new shipping address,2
assistance setting up another shipping address,6,Neutral,assistance setting up another shipping address,2
assistance solving an issue with payment,6,Neutral,assistance solving an issue with payment,3
assistance solving an issue with payments,6,Neutral,assistance solving an issue with payments,3
assistance solving issues with payment,5,Neutral,assistance solving issues with payment,3
assistance speaking with an agent,5,Neutral,assistance speaking with an agent,3
assistance submitting some feedback for a service,7,Neutral,assistance submitting some feedback for a service,3
assistance submitting some feedback for your company,7,Neutral,assistance submitting some feedback for your company,0
assistance subscribing to your company newsletter,6,Neutral,assistance subscribing to your company newsletter,0
assistance switching to another account,5,Neutral,assistance switching to another account,1
assistance switching user,3,Neutral,assistance switching user,1
assistance taking a quick look at the invoices from May,10,Positive,assistance taking a quick look at the invoices from may,7
assistance talking to an agent,5,Neutral,assistance talking to an agent,3
assistance talking to an assistant,5,Neutral,assistance talking to an assistant,3
assistance to buy several of your item,7,Neutral,assistance to buy several of your item,6
assistance to buy some of your item,7,Neutral,assistance to buy some of your item,6
assistance to buy something,4,Neutral,assistance to buy something,6
assistance to cancel my corporate newsleter subscription,7,Neutral,assistance to cancel my corporate newsleter subscription,3
assistance to cancel the goddamn user account,7,Neutral,assistance to cancel the goddamn user account,1
assistance to change an order,5,Neutral,assistance to change an order,4
assistance to change my order,5,Neutral,assistance to change my order,4
assistance to change my personal details,6,Neutral,assistance to change my personal details,3
assistance to change my shipping address,6,Neutral,assistance to change my shipping address,2
assistance to change the details included on my user profile,10,Neutral,assistance to change the details included on my user profile,3
assistance to change the info included on my user profile,10,Neutral,assistance to change the info included on my user profile,3
assistance to change the shipping address,6,Neutral,assistance to change the shipping address,2
assistance to check how long refunds take,7,Neutral,assistance to check how long refunds take,3
assistance to check how long refunds usually take,8,Negative,assistance to check how long refunds usually take,3
assistance to check how long the delivery takes,8,Neutral,assistance to check how long the delivery takes,3
assistance to check how soon can I expect the item,10,Neutral,assistance to check how soon can i expect the item,6
assistance to check if there is anything new on my refund,11,Positive,assistance to check if there is anything new on my refund,8
assistance to check in what cases can I ask for refunds,11,Neutral,assistance to check in what cases can i ask for refunds,3
assistance to check my order ETA,6,Neutral,assistance to check my order eta,4
assistance to check my refund status,6,Neutral,assistance to check my refund status,8
assistance to check the available payment options,7,Positive,assistance to check the available payment options,3
assistance to check the cancellation fee,6,Neutral,assistance to check the cancellation fee,3
assistance to check the cancellation fees,6,Neutral,assistance to check the cancellation fees,3
assistance to check the early termination fees,7,Neutral,assistance to check the early termination fees,3
assistance to check the early termination penalty,7,Neutral,assistance to check the early termination penalty,3
assistance to check the invoice from 5 purchases ago,9,Neutral,assistance to check the invoice from 5 purchases ago,7
assistance to check the invoices from last month,8,Neutral,assistance to check the invoices from last month,7
assistance to check the options for delivery,7,Neutral,assistance to check the options for delivery,3
assistance to check the status of my order,8,Neutral,assistance to check the status of my order,4
assistance to check what delivery options I can choose,9,Neutral,assistance to check what delivery options i can choose,3
assistance to check what hours customer service available is,9,Positive,assistance to check what hours customer service available is,3
assistance to check what options for delivery you offer,9,Neutral,assistance to check what options for delivery you offer,3
assistance to check what payment methods are available,8,Positive,assistance to check what payment methods are available,3
assistance to check what payment methods you accept,8,Neutral,assistance to check what payment methods you accept,3
assistance to check when my item is going to arrive,10,Neutral,assistance to check when my item is going to arrive,6
assistance to check your allowed payment methods,7,Neutral,assistance to check your allowed payment methods,3
assistance to check your refund policy,6,Neutral,assistance to check your refund policy,8
assistance to contact a person,5,Neutral,assistance to contact a person,3
assistance to contact customer service,5,Neutral,assistance to contact customer service,3
assistance to create an account,5,Neutral,assistance to create an account,1
assistance to delete my account,5,Neutral,assistance to delete my account,1
assistance to edit my account,5,Neutral,assistance to edit my account,1
assistance to edit my personal information,6,Neutral,assistance to edit my personal information,3
assistance to edit the information on my account,8,Neutral,assistance to edit the information on my account,1
assistance to file a complaint,5,Negative,assistance to file a complaint,3
assistance to file a complaint against your business,8,Negative,assistance to file a complaint against your business,3
assistance to file a complaint against your organizxation,8,Negative,assistance to file a complaint against your organizxation,3
assistance to find the invoice,5,Neutral,assistance to find the invoice,3
assistance to find the invoice from 4 purchases ago,9,Neutral,assistance to find the invoice from 4 purchases ago,7
assistance to find the invoices from January,7,Neutral,assistance to find the invoices from january,7
assistance to get a refund of money,7,Neutral,assistance to get a refund of money,8
assistance to get my invoice,5,Neutral,assistance to get my invoice,3
assistance to get my money back,6,Neutral,assistance to get my money back,8
assistance to get refunds of money,6,Neutral,assistance to get refunds of money,8
assistance to get the invoice from 3 purchases ago,9,Neutral,assistance to get the invoice from 3 purchases ago,7
assistance to get the invoice from last month,8,Neutral,assistance to get the invoice from last month,3
assistance to get the invoices from December,7,Neutral,assistance to get the invoices from december,7
assistance to get the invoices from last month,8,Neutral,assistance to get the invoices from last month,7
assistance to leave a review,5,Neutral,assistance to leave a review,3
assistance to make a consumer complaint,6,Negative,assistance to make a consumer complaint,3
assistance to make a purchase,5,Neutral,assistance to make a purchase,3
assistance to make an order,5,Neutral,assistance to make an order,4
assistance to notify of a bloody sign-up problem,8,Negative,assistance to notify of a bloody signup problem,3
assistance to open a new user account for my mum,10,Neutral,assistance to open a new user account for my mum,1
assistance to receive the company newsletter,6,Neutral,assistance to receive the company newsletter,0
assistance to recover my account PIN,6,Neutral,assistance to recover my account pin,1
assistance to recover my password,5,Neutral,assistance to recover my password,3
assistance to register,3,Neutral,assistance to register,3
assistance to remove an item,5,Neutral,assistance to remove an item,6
assistance to report a payment issue,6,Neutral,assistance to report a payment issue,3
assistance to report a registration issue,6,Neutral,assistance to report a registration issue,3
assistance to report issues with payment,6,Neutral,assistance to report issues with payment,3
assistance to report issues with payments,6,Neutral,assistance to report issues with payments,3
assistance to report payment issues,5,Neutral,assistance to report payment issues,3
assistance to report registration issues,5,Neutral,assistance to report registration issues,3
assistance to retrieve my user account password,7,Neutral,assistance to retrieve my user account password,1
assistance to see the cancellation penalties,6,Neutral,assistance to see the cancellation penalties,3
assistance to see the cancellation penalty,6,Neutral,assistance to see the cancellation penalty,3
assistance to see what payment methods are accepted,8,Neutral,assistance to see what payment methods are accepted,3
assistance to see what payment options are avaqilable,8,Neutral,assistance to see what payment options are avaqilable,3
assistance to set a different shipping address up,8,Neutral,assistance to set a different shipping address up,9
assistance to set a new shipping address up,8,Positive,assistance to set a new shipping address up,9
assistance to set another shipping address up,7,Neutral,assistance to set another shipping address up,9
assistance to set up a different shipping address,8,Neutral,assistance to set up a different shipping address,9
assistance to set up a new shipping address,8,Positive,assistance to set up a new shipping address,9
assistance to set up another shipping address,7,Neutral,assistance to set up another shipping address,9
assistance to solve a payment issue,6,Neutral,assistance to solve a payment issue,3
assistance to solve an issue with payments,7,Neutral,assistance to solve an issue with payments,3
assistance to solve issues with payment,6,Neutral,assistance to solve issues with payment,3
assistance to solve issues with payments,6,Neutral,assistance to solve issues with payments,3
assistance to solve payment issues,5,Neutral,assistance to solve payment issues,3
assistance to speak to a fucking agent,7,Negative,assistance to speak to a fucking agent,3
assistance to submit some feedback for a service,8,Neutral,assistance to submit some feedback for a service,0
assistance to submit some feedback for your company,8,Neutral,assistance to submit some feedback for your company,0
assistance to submit some feedback for your services,8,Neutral,assistance to submit some feedback for your services,0
assistance to subscribe to your company newsletter,7,Neutral,assistance to subscribe to your company newsletter,0
assistance to subscribe to your corporate newsletter,7,Neutral,assistance to subscribe to your corporate newsletter,0
assistance to switch to another account,6,Neutral,assistance to switch to another account,1
assistance to switch user,4,Neutral,assistance to switch user,1
assistance to take a quick look at my invoice,9,Positive,assistance to take a quick look at my invoice,3
assistance to take a quick look at the invoice,9,Positive,assistance to take a quick look at the invoice,3
assistance to take a quick look at the invoice from July,11,Positive,assistance to take a quick look at the invoice from july,3
assistance to talk to an agent,6,Neutral,assistance to talk to an agent,3
assistance to track an order,5,Neutral,assistance to track an order,4
assistance to track my order,5,Neutral,assistance to track my order,4
assistance to track the last order,6,Neutral,assistance to track the last order,4
assistance to track the refund,5,Neutral,assistance to track the refund,8
assistance to use another account,5,Neutral,assistance to use another account,1
assistance toi notify of a sign-up problem,7,Neutral,assistance toi notify of a signup problem,3
assistance tracking an order,4,Neutral,assistance tracking an order,4
assistance tracking the refund,4,Neutral,assistance tracking the refund,8
assistance trying to correct my delivery address,7,Neutral,assistance trying to correct my delivery address,3
assistance using another account,4,Neutral,assistance using another account,1
assistance using my new user account,6,Positive,assistance using my new user account,1
assistance using my new user profile,6,Positive,assistance using my new user profile,1
assistance with a shipping address change,6,Neutral,assistance with a shipping address change,2
assistance with cancelling the order I have made,8,Neutral,assistance with cancelling the order i have made,4
assistance with cancelling the order I made,7,Neutral,assistance with cancelling the order i made,4
assistance with changing an order,5,Neutral,assistance with changing an order,4
assistance with changing several items of an order,8,Neutral,assistance with changing several items of an order,4
assistance with removing several items from an order,8,Neutral,assistance with removing several items from an order,4
ay are not being helpful can i speak with a live agent,12,Positive,ay are not being helpful can i speak with a live agent,3
buy a few of your item,6,Negative,buy a few of your item,6
buy several of your item,5,Neutral,buy several of your item,6
buy some items,3,Neutral,buy some items,6
can i call customer assistance,5,Neutral,can i call customer assistance,3
can I cancel the company newsletter subscription?,7,Neutral,can i cancel the company newsletter subscription,0
can I cancel the subscription to your company newsletter?,9,Neutral,can i cancel the subscription to your company newsletter,0
can I change my shipping address?,6,Neutral,can i change my shipping address,2
can I change the last order?,6,Neutral,can i change the last order,4
can I change the order I have made?,8,Neutral,can i change the order i have made,4
can I change the order I made?,7,Neutral,can i change the order i made,4
can I change the shipping address?,6,Neutral,can i change the shipping address,2
can I changew to another profile?,6,Neutral,can i changew to another profile,3
can I chat with a human agent?,7,Neutral,can i chat with a human agent,3
can I check at what time customer service available is?,10,Positive,can i check at what time customer service available is,3
can I check at what time I can contact customer service?,11,Neutral,can i check at what time i can contact customer service,3
can I check how long refunds take?,7,Neutral,can i check how long refunds take,3
can I check how long refunds usually take?,8,Negative,can i check how long refunds usually take,3
can I check how soon can I expect the item?,10,Neutral,can i check how soon can i expect the item,6
can I check if there is any updates on my refund?,11,Neutral,can i check if there is any updates on my refund,8
can I check if there is anything wrong with my refund?,11,Negative,can i check if there is anything wrong with my refund,8
can I check in what cases can I ask for a refund?,12,Neutral,can i check in what cases can i ask for a refund,8
can I check in what cases can I ask for refunds?,11,Neutral,can i check in what cases can i ask for refunds,3
can I check in what cases can I ask to be refunded?,12,Neutral,can i check in what cases can i ask to be refunded,3
can I check my invoice?,5,Neutral,can i check my invoice,3
can I check my refund status?,6,Neutral,can i check my refund status,8
can I check the cancellation fee?,6,Neutral,can i check the cancellation fee,3
can I check the cancellation fees?,6,Neutral,can i check the cancellation fees,3
can I check the delivery options?,6,Neutral,can i check the delivery options,3
can I check the options for delivery?,7,Neutral,can i check the options for delivery,3
can I check the refund status?,6,Neutral,can i check the refund status,8
can I check under what circumstances can I ask for a refund?,12,Neutral,can i check under what circumstances can i ask for a refund,8
can I check what delivery options I have?,8,Neutral,can i check what delivery options i have,3
can I check what hours customer service available is?,9,Positive,can i check what hours customer service available is,3
can I check what hours I can contact customer service?,10,Neutral,can i check what hours i can contact customer service,3
can I check what options for delivery I can choose?,10,Neutral,can i check what options for delivery i can choose,3
can I check what options for delivery you offer?,9,Neutral,can i check what options for delivery you offer,3
can I check what payment methods you accept?,8,Neutral,can i check what payment methods you accept,3
can I check when my item is going to arrive?,10,Neutral,can i check when my item is going to arrive,6
can I check when will my item arrive?,8,Neutral,can i check when will my item arrive,6
can I check your money back policy?,7,Neutral,can i check your money back policy,8
can I check your refund policy?,6,Neutral,can i check your refund policy,8
can I contact customer service?,5,Neutral,can i contact customer service,3
can I create an account?,5,Neutral,can i create an account,1
can I delete my account?,5,Neutral,can i delete my account,1
can I edit my personal information?,6,Neutral,can i edit my personal information,3
can I edit the information on my account?,8,Neutral,can i edit the information on my account,1
can I file a complaint against your business?,8,Negative,can i file a complaint against your business,3
can I file a complaint?,5,Negative,can i file a complaint,3
can I get my invoices?,5,Neutral,can i get my invoices,7
can I get the invoice from November?,7,Neutral,can i get the invoice from november,3
can I get the invoices from 6 purchases ago?,9,Neutral,can i get the invoices from 6 purchases ago,7
can I get the invoices from last month?,8,Neutral,can i get the invoices from last month,7
can I get the invoices from my last purchase?,9,Neutral,can i get the invoices from my last purchase,7
can I get the invoices?,5,Neutral,can i get the invoices,7
can I leave a review?,5,Neutral,can i leave a review,3
can i lodge a consumer complaint against ur company,9,Negative,can i lodge a consumer complaint against ur company,0
can I lodge a consumer complaint?,6,Negative,can i lodge a consumer complaint,3
can I make a consumer reclamation against your organization?,9,Neutral,can i make a consumer reclamation against your organization,3
can I open a different account?,6,Neutral,can i open a different account,1
can I open a different online account?,7,Neutral,can i open a different online account,1
can I pay with amex?,5,Neutral,can i pay with amex,3
can I pay with Google Pay?,6,Neutral,can i pay with google pay,3
can I recover my password?,5,Neutral,can i recover my password,3
can I recover my uswer account pass?,7,Neutral,can i recover my uswer account pass,1
can I register?,3,Neutral,can i register,3
can I remove several items?,5,Neutral,can i remove several items,3
can I report a registration issue?,6,Neutral,can i report a registration issue,3
can I report registration issues?,5,Neutral,can i report registration issues,3
can I restore the goddamn PIN code of my account?,10,Neutral,can i restore the goddamn pin code of my account,1
can i see at what time i can contact customer assistance,11,Neutral,can i see at what time i can contact customer assistance,3
can I see at what time I can contact customer assistance?,11,Neutral,can i see at what time i can contact customer assistance,3
can I see at what time I can reach customer assistance?,11,Neutral,can i see at what time i can reach customer assistance,3
can I see the termination charges?,6,Neutral,can i see the termination charges,3
can i see what hours i can call customer assistance,10,Neutral,can i see what hours i can call customer assistance,3
can I see what hours I can call customer assistance?,10,Neutral,can i see what hours i can call customer assistance,3
can I set a new shipping address up?,8,Positive,can i set a new shipping address up,9
can I set another shipping address up?,7,Neutral,can i set another shipping address up,9
can I set up another shipping address?,7,Neutral,can i set up another shipping address,9
can I submit some feedback for a service?,8,Neutral,can i submit some feedback for a service,0
can I submit some feedback for your company?,8,Neutral,can i submit some feedback for your company,0
can I submit some feedback?,5,Neutral,can i submit some feedback,0
can I subscribe to your company newsletter?,7,Neutral,can i subscribe to your company newsletter,0
can I switch to another account?,6,Neutral,can i switch to another account,1
can I switch user?,4,Neutral,can i switch user,1
can I take a quick look at my invoices?,9,Positive,can i take a quick look at my invoices,7
can I talk to an agent?,6,Neutral,can i talk to an agent,3
can I talk to customer support?,6,Neutral,can i talk to customer support,3
can I track an order?,5,Neutral,can i track an order,4
can I track my last order?,6,Neutral,can i track my last order,4
can I track the last order?,6,Neutral,can i track the last order,4
can I unsubscribe to your corporate newsletter?,7,Neutral,can i unsubscribe to your corporate newsletter,0
can I use another account?,5,Neutral,can i use another account,1
can i use my new fucking account,7,Negative,can i use my new fucking account,1
can icreate a user account,5,Neutral,can icreate a user account,1
can uhelp me cancel my subscription to ur newsletter,9,Neutral,can uhelp me cancel my subscription to ur newsletter,0
can uhelp me changing the damn data on my user account,11,Neutral,can uhelp me changing the damn data on my user account,1
can uhelp me check the cancellation fee,7,Neutral,can uhelp me check the cancellation fee,3
can uhelp me checkimg the early exit penalty,8,Neutral,can uhelp me checkimg the early exit penalty,3
can uhelp me edit my online account,7,Neutral,can uhelp me edit my online account,1
can uhelp me modify the address,6,Neutral,can uhelp me modify the address,3
can uhelp me notifying of a registration issue,8,Neutral,can uhelp me notifying of a registration issue,3
can uhelp me open a new user account,8,Neutral,can uhelp me open a new user account,1
can uhelp me opening a new user account,8,Positive,can uhelp me opening a new user account,1
can uhelp me see the early termination charges,8,Neutral,can uhelp me see the early termination charges,3
can uhelp me see the withdrawal charges,7,Neutral,can uhelp me see the withdrawal charges,3
can uhelp me seeing the cancellation fees,7,Neutral,can uhelp me seeing the cancellation fees,3
can uhelp me signing up to the newsletter,8,Neutral,can uhelp me signing up to the newsletter,0
can uhelp me speak with a live agent,8,Positive,can uhelp me speak with a live agent,3
can uhelp me switch to my new account,8,Positive,can uhelp me switch to my new account,1
can uhelp me to cancel the account,7,Neutral,can uhelp me to cancel the account,1
can uhelp me to contact someone,6,Neutral,can uhelp me to contact someone,3
can uhelp me to open an online account,8,Neutral,can uhelp me to open an online account,1
can uhelp me to use a new user profile,9,Positive,can uhelp me to use a new user profile,1
can utell me about cancel the subscription to the newsletter,10,Neutral,can utell me about cancel the subscription to the newsletter,0
can ya give me information about my premium account deletion,10,Neutral,can ya give me information about my premium account deletion,1
can ya help me change to a different goddamn user profile,11,Neutral,can ya help me change to a different goddamn user profile,3
can ya help me check the withdrawal charge,8,Neutral,can ya help me check the withdrawal charge,3
can ya help me checking what paymnent options are accepted,10,Neutral,can ya help me checking what paymnent options are accepted,3
can ya help me lodge a complaint against ur business,10,Negative,can ya help me lodge a complaint against ur business,3
can ya help me resetting my user account pass,9,Neutral,can ya help me resetting my user account pass,1
can ya help me to make a consumer complaint,9,Negative,can ya help me to make a consumer complaint,3
can ya help me to modify the data included on my profile,12,Neutral,can ya help me to modify the data included on my profile,3
can ya help me to subscribe to ur corporate newsletter,10,Neutral,can ya help me to subscribe to ur corporate newsletter,0
can ya help me use a different user profile,9,Neutral,can ya help me use a different user profile,1
can ya tell me about my user account termination,9,Neutral,can ya tell me about my user account termination,1
can ya tell me at what time i can call customer service,12,Neutral,can ya tell me at what time i can call customer service,3
can you ehlp me chatting with a live agent?,9,Positive,can you ehlp me chatting with a live agent,3
can you ehlp me speak with a person?,8,Neutral,can you ehlp me speak with a person,3
can you give me information about a forgotten password?,9,Neutral,can you give me information about a forgotten password,3
can you give me information about a password recovery?,9,Neutral,can you give me information about a password recovery,3
can you give me information about a shipping address change?,10,Neutral,can you give me information about a shipping address change,2
can you give me information about canceling an order?,9,Neutral,can you give me information about canceling an order,4
can you give me information about cancelling orders?,8,Neutral,can you give me information about cancelling orders,3
can you give me information about delivery period?,8,Neutral,can you give me information about delivery period,3
can you give me information about delivery periods?,8,Neutral,can you give me information about delivery periods,3
can you give me information about forgotten passwords?,8,Neutral,can you give me information about forgotten passwords,3
can you give me information about user account deletions?,9,Neutral,can you give me information about user account deletions,1
can you help me add several items to an order?,10,Neutral,can you help me add several items to an order,4
can you help me adding some items to an order?,10,Neutral,can you help me adding some items to an order,4
can you help me buy a few of your item?,10,Negative,can you help me buy a few of your item,6
can you help me buy several items?,7,Neutral,can you help me buy several items,6
can you help me buy several of your item?,9,Neutral,can you help me buy several of your item,6
can you help me buy some items?,7,Neutral,can you help me buy some items,6
can you help me buying a few of your item?,10,Negative,can you help me buying a few of your item,6
can you help me buying an item?,7,Neutral,can you help me buying an item,6
can you help me buying several items?,7,Neutral,can you help me buying several items,3
can you help me buying something?,6,Neutral,can you help me buying something,3
can you help me cancel my corporate newsletter subscription?,9,Neutral,can you help me cancel my corporate newsletter subscription,0
can you help me cancel my last order?,8,Neutral,can you help me cancel my last order,4
can you help me cancel the company newsletter subscription?,9,Neutral,can you help me cancel the company newsletter subscription,0
can you help me cancel the last order?,8,Neutral,can you help me cancel the last order,4
can you help me cancel the order I made?,9,Neutral,can you help me cancel the order i made,4
can you help me canceling my last order?,8,Neutral,can you help me canceling my last order,4
can you help me canceling the last order?,8,Neutral,can you help me canceling the last order,4
can you help me canceling the order I made?,9,Neutral,can you help me canceling the order i made,4
can you help me cancelling my order?,7,Neutral,can you help me cancelling my order,4
can you help me cancelling the order I made?,9,Neutral,can you help me cancelling the order i made,4
can you help me change my order?,7,Neutral,can you help me change my order,4
can you help me change the shipping address?,8,Neutral,can you help me change the shipping address,2
can you help me changing my shipping address?,8,Neutral,can you help me changing my shipping address,2
can you help me changing the shipping address?,8,Neutral,can you help me changing the shipping address,2
can you help me check how long refunds take?,9,Neutral,can you help me check how long refunds take,3
can you help me check how long refunds usually take?,10,Negative,can you help me check how long refunds usually take,3
can you help me check how long the delivery takes?,10,Neutral,can you help me check how long the delivery takes,3
can you help me check how soon can I expect the delivery?,12,Neutral,can you help me check how soon can i expect the delivery,3
can you help me check how soon can I expect the item?,12,Neutral,can you help me check how soon can i expect the item,6
can you help me check if there is any updates on my refund?,13,Neutral,can you help me check if there is any updates on my refund,8
can you help me check if there is anything new on my refund?,13,Positive,can you help me check if there is anything new on my refund,8
can you help me check in what cases can I ask for a refund?,14,Neutral,can you help me check in what cases can i ask for a refund,8
can you help me check in what cases can I ask for refunds?,13,Neutral,can you help me check in what cases can i ask for refunds,3
can you help me check my invoice?,7,Neutral,can you help me check my invoice,3
can you help me check my order ETA?,8,Neutral,can you help me check my order eta,4
can you help me check the cancellation fees?,8,Neutral,can you help me check the cancellation fees,3
can you help me check the invoice?,7,Neutral,can you help me check the invoice,3
can you help me check the invoices from 9 months ago?,11,Neutral,can you help me check the invoices from 9 months ago,7
can you help me check the invoices from five purchases ago?,11,Neutral,can you help me check the invoices from five purchases ago,7
can you help me check the options for delivery?,9,Neutral,can you help me check the options for delivery,3
can you help me check the refund status?,8,Neutral,can you help me check the refund status,8
can you help me check the status of my order?,10,Neutral,can you help me check the status of my order,4
